"id","group","name","type","kanji.name","kana.name","lat.d","lat.m","lon.d","lon.m","height","rem1","rem2","rem3","rem4","rem5"
1112,13,"Kotanbetsu","a1","古丹別","コタンベツ",44,15.9,141,43.3,15,"","","",NA,NA
1213,13,"Yagishiri","a1","焼尻","ヤギシリ",44,25.7,141,25.3,38,"","","",NA,NA
1216,13,"Shosanbetsu","a1","初山別","ショサンベツ",44,31.4,141,46.2,27,"","","",NA,NA
1217,13,"Tappu","a1","達布","タップ",44,2.9,141,51.4,30,"","","",NA,NA
1218,13,"Horonuka","a1","幌糠","ホロヌカ",43,51.2,141,45.6,20,"","","",NA,NA
29,14,"Asoiwa","a1","阿曽岩","アソイワ",43,18.1,141,30.8,320,"","","",NA,NA
30,14,"Shinshinotsu","a1","新篠津","シンシノツ",43,13.2,141,38.7,9,"","","",NA,NA
31,14,"Yamaguchi","a1","山口","ヤマグチ",43,8.9,141,13.3,5,"","","",NA,NA
32,14,"Teineyama","a1","手稲山","テイネヤマ",43,5,141,12.1,568,"","","",NA,NA
47412,14,"Satsuporo","s1","札幌","サツポロ",43,3.6,141,19.7,17.4,"","","",NA,NA
34,14,"Koganeyu","a1","小金湯","コガネユ",42,57.8,141,13,230,"","","",NA,NA
35,14,"Eniwashimamatsu","a1","恵庭島松","エニワシママツ",42,55.6,141,33.9,30,"","","",NA,NA
36,14,"Shimamatsuyama","a1","島松山","シママツヤマ",42,53.7,141,24.8,400,"","","",NA,NA
37,14,"Shikotsukohan","a1","支笏湖畔","シコツコハン",42,46.3,141,24.4,290,"","","",NA,NA
1076,14,"Nishinopporo","a1","西野幌","ニシノッポロ",43,2.6,141,32.4,22,"","","",NA,NA
1085,14,"Ishikari","a1","石狩","イシカリ",43,11.6,141,22.2,5,"","","",NA,NA
1193,14,"Hamamasu","a1","浜益","ハママス",43,34.9,141,23.2,3,"","","",NA,NA
1194,14,"Atsuta","a1","厚田","アツタ",43,23.8,141,26.2,5,"","","",NA,NA
1459,14,"Chitose","a1","千歳","チトセ",42,46.5,141,41.5,22,"","","",NA,NA
1507,14,"Ebetsu","a1","江別","エベツ",43,6.6,141,36.1,8,"","","",NA,NA
