"RC"|"REGM"|"STØRSTE_LENGDE"|"BRUTTOTONNASJE"|"MOTORKRAFT"|"TM1"|"AKTIVITET_KODE"|"AKTIVITET"|"PUMPET_FRA"|"FANGSTÅR"|"STARTTIDSPUNKT"|"START_LT"|"START_LG"|"SONE"|"KVOTETYPE_KODE"|"KVOTETYPE"|"REDSKAP_FAO"|"REDSKAP_NS"|"REDSKAP"|"REDSKAPSSPESIFIKASJON_KODE"|"REDSKAPSSPESIFIKASJON"|"MASKEVIDDE"|"REDSKAP_PROBLEMER_KODE"|"REDSKAP_PROBLEMER"|"STOPPTIDSPUNKT"|"STOPP_LT"|"STOPP_LG"|"VARIGHET"|"INNSATS"|"SILD_BESTAND_KODE"|"SILD_BESTAND_NS"|"SILD_BESTAND"|"HOVEDART_FAO"|"HOVEDART_NS"|"HOVEDART"|"INT_OMR_GML_START"|"INT_OMR_NY_START"|"INT_OMR_GML_STOPP"|"INT_OMR_NY_STOPP"|"HAV_DYBDE_START"|"HAV_DYBDE_STOPP"|"LOKASJON_START"|"LOKASJON_STOPP"|"TREKK_AVSTAND_METER"|"FANGSTART_FAO"|"FANGSTART_NS"|"FANGSTART"|"RUNDVEKT"
"RCRC"|"Y 01234X"|23,5|129|650|"DCA"|"FIS"|"I fiske"|" "|"2015"|"2015-01-07 07:52:00"|69,667|18,317|"NOR"|1|"Normalt fiske"|"PS2"|"11"|"Snurpenot/ringnot, to fartøy"||""|30|0|"Ingen"|"2015-01-07 10:49:00"|69,7|18,317|177||"NOR01"|"061101"|"Norsk vårgytende sild"|"HER"|"0611"|"Sild"|"IIa"|"IIa2"|"IIa"|"IIa2"|365|-147|"0531"|"0531"|3681|"HER"|"0611"|"Sild"|180000
"RCRC"|"Y 01234X"|23,5|129|650|"DCA"|"FIS"|"I fiske"|" "|"2015"|"2015-01-07 18:50:00"|69,7|18,317|"NOR"|1|"Normalt fiske"|"PS1"|"11"|"Snurpenot/ringnot, et fartøy"||""|30|0|"Ingen"|"2015-01-07 20:01:00"|69,7|18,317|71||"NOR01"|"061101"|"Norsk vårgytende sild"|"HER"|"0611"|"Sild"|"IIa"|"IIa2"|"IIa"|"IIa2"|-147|-147|"0531"|"0531"|0|"HER"|"0611"|"Sild"|80000
"RCRC"|"Y 01234X"|23,5|129|650|"DCA"|"FIS"|"I fiske"|" "|"2015"|"2015-02-12 17:46:00"|62,517|5,617|"NOR"|1|"Normalt fiske"|"PS1"|"11"|"Snurpenot/ringnot, et fartøy"||""|30|0|"Ingen"|"2015-02-12 18:59:00"|62,517|5,633|73||"NOR01"|"061101"|"Norsk vårgytende sild"|"HER"|"0611"|"Sild"|"IIa"|"IIa2"|"IIa"|"IIa2"|-119|-149|"0706"|"0706"|824|"HER"|"0611"|"Sild"|70000
"RCRC"|"Y 01234X"|23,5|129|650|"DCA"|"FIS"|"I fiske"|" "|"2015"|"2015-02-28 07:46:00"|71,05|23,283|"NOR"|1|"Normalt fiske"|"PS1"|"11"|"Snurpenot/ringnot, et fartøy"||""|30|0|"Ingen"|"2015-02-28 09:37:00"|71,05|23,383|111||""|""|""|"COD"|"1022"|"Torsk"|"IIa"|"IIa2"|"IIa"|"IIa2"|-178|-143|"0424"|"0424"|3626|"COD"|"1022"|"Torsk"|21000
"RCRC"|"Y 01234X"|23,5|129|650|"DCA"|"FIS"|"I fiske"|" "|"2015"|"2015-03-01 08:03:00"|71,05|23,3|"NOR"|1|"Normalt fiske"|"SSC"|"61"|"Snurrevad, skotsk"||""|180|0|"Ingen"|"2015-03-01 09:27:00"|71,05|23,4|84||""|""|""|"COD"|"1022"|"Torsk"|"IIa"|"IIa2"|"IIa"|"IIa2"|-162|-137|"0424"|"0424"|3626|"COD"|"1022"|"Torsk"|20000
"RCRC"|"Y 01234X"|23,5|129|650|"DCA"|"FIS"|"I fiske"|" "|"2015"|"2015-03-01 12:56:00"|71,05|23,283|"NOR"|1|"Normalt fiske"|"SSC"|"61"|"Snurrevad, skotsk"||""|180|0|"Ingen"|"2015-03-01 14:36:00"|71,05|23,383|100||""|""|""|"COD"|"1022"|"Torsk"|"IIa"|"IIa2"|"IIa"|"IIa2"|-178|-143|"0424"|"0424"|3626|"COD"|"1022"|"Torsk"|20000
"RCRC"|"Y 01234X"|23,5|129|650|"DCA"|"FIS"|"I fiske"|" "|"2015"|"2015-03-03 08:50:00"|71,05|23,3|"NOR"|1|"Normalt fiske"|"SSC"|"61"|"Snurrevad, skotsk"||""|180|0|"Ingen"|"2015-03-03 10:38:00"|71,05|23,4|108||""|""|""|"COD"|"1022"|"Torsk"|"IIa"|"IIa2"|"IIa"|"IIa2"|-162|-137|"0424"|"0424"|3626|"COD"|"1022"|"Torsk"|5000
"RCRC"|"Y 01234X"|23,5|129|650|"DCA"|"FIS"|"I fiske"|" "|"2015"|"2015-03-03 14:47:00"|71,083|23,883|"NOR"|1|"Normalt fiske"|"SSC"|"61"|"Snurrevad, skotsk"||""|180|0|"Ingen"|"2015-03-03 16:16:00"|71,117|23,95|89||""|""|""|"COD"|"1022"|"Torsk"|"IIa"|"IIa2"|"IIa"|"IIa2"|-105|-151|"0424"|"0424"|4501|"COD"|"1022"|"Torsk"|25000
"RCRC"|"Y 01234X"|23,5|129|650|"DCA"|"FIS"|"I fiske"|" "|"2015"|"2015-03-03 14:47:00"|71,083|23,883|"NOR"|1|"Normalt fiske"|"SSC"|"61"|"Snurrevad, skotsk"||""|180|0|"Ingen"|"2015-03-03 16:16:00"|71,117|23,95|89||""|""|""|"COD"|"1022"|"Torsk"|"IIa"|"IIa2"|"IIa"|"IIa2"|-105|-151|"0424"|"0424"|4501|"POK"|"1032"|"Sei"|200
